"","word","spaced_word"
"516","79건국대동국대","79건국대 동국대"
"517","비해너무","비해 너무"
"518","어느정도","어느 정도"
"519","듦요즘에야","듦 요즘에야"
"520","내신등급","내신 등급"
"521","2점후반으로","2점 후반으로"
"522","내려갔지만2점초반","내려갔지만 2점 초반"
"523","1점후반","1점 후반"
"524","예전에도후보가","예전에도 후보가"
"525","싶음3대안학교나","싶음 3대 안학교나"
"526","10학번때도","10학번 때도"
"527","4결론예전부터","4 결론 예전부터"
"528","중경외시니","중경 외시니"
"529","그정도는","그 정도는"
"530","아니었던걸로","아니었던 걸로"
"531","영어수업","영어 수업"
"532","발표토론","발표 토론"
"533","학교라타","학교라타"
"534","거임밑에글에서도","거임 밑에 글에서도"
"535","맥주하나","맥주 하나"
"536","2014년","2014년"
"537","10명최근에는","10명 최근에는"
"538","21명정도까지","21명 정도까지"
"539","싶음의치전원은","싶음의 치 전원은"
"540","300명","300명"
"541","3년정도","3년 정도"
"542","취업보장","취업보장"
"543","현차트랙을","현 차트랙을"
"544","유치하기","유치하기"
"545","했었고5입결이","했었고 5입결이"
"546","이유예상다만","이유예상다만"
"547","의치전원","의치 전원"
"548","현차트랙이","현 차트랙이"
"549","상태고학교","상태고 학교"
"550","아웃풋은","아웃풋은"
"551","재정상황","재정상황"
"552","없고제일","없고 제일"
"553","성적장학금","성적 장학금"
"554","주는거겠지6그래도","주는 거겠지 6 그래도"
"555","있지않나자율전공제도여러사람","있지 않나 자율 전공 제도 여러 사람"
"556","새섬팀장한스트","새섬 팀장한 스트"
"557","스탭짐팩","스탭짐팩"
"558","선배들이","선배들이"
"559","있다는건","있다는 건"
"560","사랑하기","사랑하기"
"561","억울해서","억울해서"
"562","저격하는글","저격하는 글"
"563","있었음아이러니하게도","있었음 아이러니하게도"
"564","저격글이긴하네그냥","저격글이긴 하네그냥"
"565","억울해서","억울해서"
"566","하소연해봤어친구야","하소연 해봤어 친구야"
"567","속상한지","속상한지"
"568","모르겠는데한동에서","모르겠는데 한동에서"
"569","현타와요","현타와요"
"570","맨날연기","맨날 연기"
"571","기분이고마음이","기분이 고 마음이"
"572","이산수학","이 산수학"
"573","프로그램","프로그램"
"574","걸까진짜","걸까진짜"
"575","구글링도","구글링도"
"576","지경이다모든","지경이다 모든"
"577","건동홍급이니","건동홍급이니"
"578","없지요즘","없지요즘"
"579","건동홍이랑","건동홍 이랑"
"580","겹치더라심지어","겹치더라 심지어"
"581","건동홍은","건동홍은"
"582","40프로","40 프로"
"583","땡기는데","땡기는 데"
"584","사오는걸","사오는 걸"
"585","힘들어이게","힘들어 이게"
"586","찌릿찌릿한","찌릿찌릿한"
"587","24시간","24시간"
"588","힘들어허리통증에","힘들어 허리 통증에"
"589","수업듣고","수업 듣고"
"590","욱씬거려서","욱씬 거려서"
"591","돌아가고싶다군대에","돌아가고 싶다 군대에"
"592","살아서인지그래도","살아서인지 그래도"
"593","돌아가고싶다오늘","돌아가고 싶다 오늘"
"594","있었다때린","있었다 때린"
"595","한다나는","한다나는"
"596","후임관리","후임 관리"
"597","싶었다오늘","싶었다 오늘"
"598","했다우린","했다 우린"
"599","차원정도","차원 정도"
"600","맞추자더라물론","맞추자더라 물론"
"601","했다보다못해서","했다보다 못해서"
"602","대답이이런건","대답이 이런 건"
"603","있다는걸","있다는 걸"
"604","살아야지고작","살아야지 고작"
"605","이런것들","이런 것들"
"606","뿐이더라이것저것","뿐이더 라 이것저것"
"607","없더라잘못했고","없더라 잘못했고"
"608","일인가결국","일인가 결국"
"609","꾸민일이라고","꾸민 일이라고"
"610","했다과연","했다 과연"
"611","못지킬것","못 지킬 것"
"612","같은데당장","같은데 당장"
"613","없으니너무","없으니 너무"
"614","했는데엄마가","했는데 엄마가"
"615","파티풍선","파티 풍선"
"616","블루투스","블루투스"
"617","사고나서동물잠옷","사고 나서 동물 잠 옷"
"618","맞춰입자고","맞춰 입자고"
"619","그런다내가","그런 다 내가"
"620","동물잠옷","동물 잠 옷"
"621","그러니깐","그러니깐"
"622","갔어우리","갔어 우리"
"623","사랑스럽놀러가기","사랑스럽놀러가기"
"624","아니다내","아니다 내"
"625","불리던애들이었다","불리던 애들이었다"
"626","늑대들이","늑대들이"
"627","걔네들에","걔네들에"
"628","걔네들들을전우","걔네들들을 전우"
"629","없다주관이라는","없다주관이라는"
"630","개입되어있지않은객체object","개입되어 있지 않은 객체 object"
"631","안풀리는거는","안 풀리는 거는"
"632","해결방법","해결 방법"
"633","좋아하는데왜","좋아하는데 왜"
"634","다들행복하","다들 행복하"
"635","기독교인","기독교인"
"636","방송장비","방송장비"
"637","방송부원","방송부원"
"638","안만졌으면","안만졌으면"
"639","방송부원","방송부원"
"640","출입금지","출입금지"
"641","달아달라","달아달라"
"642","해달라니까","해달라니까"
"643","이상해지","이상해지"
"644","방송부원","방송부원"
"645","대단한거같다","대단한 거 같다"
"646","부족해서","부족해서"
"647","생각중시험","생각 중 시험"
"648","싶다그냥","싶다 그냥"
"649","살고싶다대학교","살고 싶다 대학교"
"650","학점경쟁","학점 경쟁"
"651","이거원취업경쟁이나","이거원 취업경쟁이나"
"652","스펙경쟁","스펙 경쟁"
"653","하기싫고","하기 싫고"
"654","저번주도","저번 주도"
"655","검사받는날","검사받는 날"
"656","교수님들이","교수님들이"
"657","교수님들","교수님들"
"658","있나요힘든데","있나요 힘든 데"
"659","연애해도","연애해도"
"660","싶다몸이","싶다 몸이"
"661","어려워진다이","어려워진 다이"
"662","어렵다내가","어렵다 내가"
"663","관심이누군가","관심이 누군가"
"664","부담이라는게그럼에도계속","부담이라는 게 그럼에도 계속"
"665","할까미안함일까연민일까그저","할까 미안함 일까 연민일까그저"
"666","안부일까그것이","안부일까 그것이"
"667","궁금해너에게또다시","궁금해 너에게 또다시"
"668","100개","100개"
"669","전공무관","전 공무관"
"670","취준현업","취준현업"
